Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;100;3.000;1.500;-3.600;max;0.024;0.001;0.004;0.005;0.009;0.022;0.002;0.025;
1;100;3.000;1.500;-3.600;min;-0.024;-0.001;-0.004;-0.005;-0.009;-0.022;-0.002;-0.025;
1;101;3.500;1.500;-3.600;max;0.027;0.001;0.003;0.003;0.001;0.021;0.005;0.014;
1;101;3.500;1.500;-3.600;min;-0.027;-0.001;-0.003;-0.003;-0.001;-0.021;-0.005;-0.014;
1;102;4.000;1.500;-3.600;max;0.028;0.001;0.004;0.004;0.003;0.021;0.008;0.012;
1;102;4.000;1.500;-3.600;min;-0.028;-0.001;-0.004;-0.004;-0.003;-0.021;-0.008;-0.012;
1;103;4.500;1.500;-3.600;max;0.029;0.002;0.004;0.005;0.005;0.022;0.009;0.010;
1;103;4.500;1.500;-3.600;min;-0.029;-0.002;-0.004;-0.005;-0.005;-0.022;-0.009;-0.010;
1;104;5.000;1.500;-3.600;max;0.028;0.002;0.005;0.007;0.007;0.023;0.009;0.009;
1;104;5.000;1.500;-3.600;min;-0.028;-0.002;-0.005;-0.007;-0.007;-0.023;-0.009;-0.009;
1;105;5.500;1.500;-3.600;max;0.026;0.002;0.007;0.008;0.009;0.023;0.007;0.008;
1;105;5.500;1.500;-3.600;min;-0.026;-0.002;-0.007;-0.008;-0.009;-0.023;-0.007;-0.008;
1;106;6.000;1.500;-3.600;max;0.021;0.003;0.009;0.012;0.002;0.023;0.002;0.008;
1;106;6.000;1.500;-3.600;min;-0.021;-0.003;-0.009;-0.012;-0.002;-0.023;-0.002;-0.008;
1;107;6.500;1.500;-3.600;max;0.021;0.002;0.007;0.009;0.008;0.023;0.006;0.010;
1;107;6.500;1.500;-3.600;min;-0.021;-0.002;-0.007;-0.009;-0.008;-0.023;-0.006;-0.010;
1;108;7.000;1.500;-3.600;max;0.024;0.002;0.005;0.008;0.006;0.022;0.007;0.010;
1;108;7.000;1.500;-3.600;min;-0.024;-0.002;-0.005;-0.008;-0.006;-0.022;-0.007;-0.010;
1;109;7.500;1.500;-3.600;max;0.026;0.001;0.004;0.007;0.004;0.021;0.007;0.009;
1;109;7.500;1.500;-3.600;min;-0.026;-0.001;-0.004;-0.007;-0.004;-0.021;-0.007;-0.009;
1;110;8.000;1.500;-3.600;max;0.028;0.001;0.003;0.005;0.007;0.021;0.007;0.008;
1;110;8.000;1.500;-3.600;min;-0.028;-0.001;-0.003;-0.005;-0.007;-0.021;-0.007;-0.008;
1;111;8.500;1.500;-3.600;max;0.029;0.002;0.004;0.005;0.010;0.022;0.006;0.005;
1;111;8.500;1.500;-3.600;min;-0.029;-0.002;-0.004;-0.005;-0.010;-0.022;-0.006;-0.005;
1;112;9.000;1.500;-3.600;max;0.029;0.003;0.007;0.008;0.002;0.022;0.004;0.004;
1;112;9.000;1.500;-3.600;min;-0.029;-0.003;-0.007;-0.008;-0.002;-0.022;-0.004;-0.004;
1;113;9.500;1.500;-3.600;max;0.029;0.002;0.004;0.005;0.009;0.021;0.006;0.005;
1;113;9.500;1.500;-3.600;min;-0.029;-0.002;-0.004;-0.005;-0.009;-0.021;-0.006;-0.005;
1;114;10.000;1.500;-3.600;max;0.028;0.001;0.002;0.005;0.006;0.021;0.007;0.008;
1;114;10.000;1.500;-3.600;min;-0.028;-0.001;-0.002;-0.005;-0.006;-0.021;-0.007;-0.008;
1;115;10.500;1.500;-3.600;max;0.026;0.001;0.003;0.006;0.004;0.020;0.007;0.009;
1;115;10.500;1.500;-3.600;min;-0.026;-0.001;-0.003;-0.006;-0.004;-0.020;-0.007;-0.009;
1;116;11.000;1.500;-3.600;max;0.023;0.001;0.005;0.007;0.007;0.020;0.008;0.010;
1;116;11.000;1.500;-3.600;min;-0.023;-0.001;-0.005;-0.007;-0.007;-0.020;-0.008;-0.010;
1;117;11.500;1.500;-3.600;max;0.020;0.001;0.008;0.009;0.009;0.021;0.007;0.009;
1;117;11.500;1.500;-3.600;min;-0.020;-0.001;-0.008;-0.009;-0.009;-0.021;-0.007;-0.009;
1;118;12.000;1.500;-3.600;max;0.018;0.002;0.011;0.012;0.004;0.021;0.004;0.008;
1;118;12.000;1.500;-3.600;min;-0.018;-0.002;-0.011;-0.012;-0.004;-0.021;-0.004;-0.008;
1;119;12.500;1.500;-3.600;max;0.022;0.002;0.008;0.008;0.010;0.019;0.010;0.007;
