Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;90;13.500;1.000;-3.600;max;0.001;0.000;85.24;0.001;0.000;83.25;0.000;0.000;75.01;0.000;
1;90;13.500;1.000;-3.600;min;0.000;-0.001;-84.37;0.000;-0.001;-84.46;0.000;0.000;-75.01;0.000;
1;91;14.000;1.000;-3.600;max;0.001;0.000;83.40;0.001;0.000;81.34;0.000;0.000;70.88;0.000;
1;91;14.000;1.000;-3.600;min;0.000;-0.001;-82.64;0.000;-0.001;-82.37;0.000;0.000;-70.88;0.000;
1;92;14.500;1.000;-3.600;max;0.001;0.000;77.29;0.001;0.000;74.76;0.000;0.000;69.61;0.000;
1;92;14.500;1.000;-3.600;min;0.000;-0.001;-76.22;0.000;-0.001;-75.27;0.000;0.000;-69.61;0.000;
1;93;15.000;1.000;-3.600;max;0.001;0.000;70.84;0.001;0.000;68.79;0.000;0.000;74.06;0.000;
1;93;15.000;1.000;-3.600;min;0.000;-0.001;-68.84;0.000;-0.001;-69.70;0.000;0.000;-74.06;0.000;
1;94;0.000;1.500;-3.600;max;0.000;0.000;52.98;0.000;0.000;51.13;0.000;0.000;58.43;0.000;
1;94;0.000;1.500;-3.600;min;0.000;0.000;-50.00;0.000;0.000;-52.17;0.000;0.000;-58.43;0.000;
1;95;0.500;1.500;-3.600;max;0.000;0.000;54.75;0.000;0.000;52.22;0.000;0.000;54.39;0.000;
1;95;0.500;1.500;-3.600;min;0.000;0.000;-52.07;0.000;0.000;-52.71;0.000;0.000;-54.39;0.000;
1;96;1.000;1.500;-3.600;max;0.000;0.000;59.78;0.000;0.000;55.77;0.000;0.000;64.06;0.000;
1;96;1.000;1.500;-3.600;min;0.000;0.000;-54.87;0.000;0.000;-56.25;0.000;0.000;-64.06;0.000;
1;98;2.000;1.500;-3.600;max;0.000;0.000;62.09;0.000;0.000;58.05;0.000;0.000;54.86;0.000;
1;98;2.000;1.500;-3.600;min;0.000;0.000;-60.58;0.000;0.000;-59.10;0.000;0.000;-54.86;0.000;
1;99;2.500;1.500;-3.600;max;0.001;0.000;78.13;0.001;0.000;72.92;0.000;0.000;50.43;0.000;
1;99;2.500;1.500;-3.600;min;0.000;-0.001;-77.29;0.000;-0.001;-74.33;0.000;0.000;-50.43;0.000;
1;100;3.000;1.500;-3.600;max;0.001;0.000;85.89;0.001;0.000;84.69;0.000;0.000;58.17;0.000;
1;100;3.000;1.500;-3.600;min;0.000;-0.001;-85.24;0.000;-0.001;-85.49;0.000;0.000;-58.17;0.000;
1;101;3.500;1.500;-3.600;max;0.001;0.000;85.83;0.001;0.000;84.93;0.000;0.000;66.04;0.000;
1;101;3.500;1.500;-3.600;min;0.000;-0.001;-85.28;0.000;-0.001;-85.56;0.000;0.000;-66.04;0.000;
1;102;4.000;1.500;-3.600;max;0.001;0.000;84.99;0.001;0.000;83.81;0.000;0.000;70.68;0.000;
1;102;4.000;1.500;-3.600;min;0.000;-0.001;-84.33;0.000;-0.001;-84.58;0.000;0.000;-70.68;0.000;
1;103;4.500;1.500;-3.600;max;0.001;0.000;84.27;0.001;0.000;82.69;0.000;0.000;74.16;0.000;
1;103;4.500;1.500;-3.600;min;0.000;-0.001;-83.52;0.000;-0.001;-83.63;0.000;0.000;-74.16;0.000;
1;104;5.000;1.500;-3.600;max;0.001;0.000;82.18;0.001;0.000;79.89;0.000;0.000;76.14;0.000;
1;104;5.000;1.500;-3.600;min;0.000;-0.001;-81.14;0.000;-0.001;-81.21;0.000;0.000;-76.14;0.000;
1;105;5.500;1.500;-3.600;max;0.001;0.000;77.87;0.001;0.000;75.82;0.000;0.000;76.31;0.000;
1;105;5.500;1.500;-3.600;min;0.000;-0.001;-76.28;0.000;-0.001;-76.35;0.000;0.000;-76.31;0.000;
