Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;175;9.500;2.500;-3.600;;0.393;0.318;-5.72;-0.323;-0.436;86.62;-0.002;-0.022;-88.78;0.013;
1;176;10.000;2.500;-3.600;;0.422;0.310;-3.39;-0.315;-0.463;88.40;-0.002;-0.021;-86.33;0.010;
1;177;10.500;2.500;-3.600;;0.410;0.304;4.51;-0.310;-0.449;-85.07;-0.003;-0.020;-83.77;0.013;
1;178;11.000;2.500;-3.600;;0.356;0.298;19.99;-0.307;-0.391;-73.39;-0.004;-0.018;-80.63;0.020;
1;179;11.500;2.500;-3.600;;0.307;0.266;79.15;-0.294;-0.322;-25.49;-0.005;-0.016;-80.66;0.025;
1;180;12.000;2.500;-3.600;;0.298;0.232;-80.88;-0.260;-0.306;11.77;-0.004;-0.014;-85.77;0.031;
1;181;12.500;2.500;-3.600;;0.311;0.281;-53.56;-0.296;-0.323;62.53;-0.001;-0.013;-82.55;0.008;
1;182;13.000;2.500;-3.600;;0.295;0.283;-55.46;-0.292;-0.309;-88.02;0.000;-0.012;-74.65;0.011;
1;183;13.500;2.500;-3.600;;0.283;0.230;75.48;-0.239;-0.293;-24.07;0.000;-0.009;-62.64;0.021;
1;184;14.000;2.500;-3.600;;0.283;0.119;82.51;-0.125;-0.293;-9.84;0.000;-0.007;-44.42;0.029;
1;185;14.500;2.500;-3.600;;0.278;0.002;89.30;-0.003;-0.283;-1.55;0.001;-0.004;-33.54;0.032;
1;186;15.000;2.500;-3.600;;0.256;-0.081;-84.37;0.086;-0.247;5.66;0.004;0.002;-87.01;0.037;
1;187;0.000;3.000;-3.600;;0.170;-0.259;75.99;0.263;-0.163;-13.66;0.004;0.001;44.23;0.060;
1;188;0.500;3.000;-3.600;;0.167;-0.126;87.69;0.121;-0.179;-0.12;0.002;-0.010;35.59;0.059;
1;189;1.000;3.000;-3.600;;0.177;0.043;-76.79;-0.049;-0.192;17.83;0.001;-0.011;48.62;0.042;
1;190;1.500;3.000;-3.600;;0.217;0.163;-24.63;-0.161;-0.241;64.76;0.001;-0.012;63.48;0.027;
1;191;2.000;3.000;-3.600;;0.292;0.182;4.94;-0.181;-0.315;-89.80;0.003;-0.013;73.24;0.014;
1;192;2.500;3.000;-3.600;;0.302;0.202;21.64;-0.204;-0.323;-76.43;0.004;-0.015;78.80;0.006;
1;193;3.000;3.000;-3.600;;0.231;0.122;70.03;-0.148;-0.241;-36.15;-0.003;-0.015;80.30;0.062;
1;194;3.500;3.000;-3.600;;0.214;0.149;-80.34;-0.174;-0.234;21.37;-0.005;-0.018;66.36;0.051;
