Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;203;8.000;3.000;-3.600;max;0.00;0.00;0.00;
1;203;8.000;3.000;-3.600;min;0.00;0.00;0.00;
1;204;8.500;3.000;-3.600;max;0.00;0.00;0.00;
1;204;8.500;3.000;-3.600;min;0.00;0.00;0.00;
1;205;9.000;3.000;-3.600;max;0.00;0.00;0.00;
1;205;9.000;3.000;-3.600;min;0.00;0.00;0.00;
1;206;9.500;3.000;-3.600;max;0.00;0.00;0.00;
1;206;9.500;3.000;-3.600;min;0.00;0.00;0.00;
1;207;10.000;3.000;-3.600;max;0.00;0.00;0.00;
1;207;10.000;3.000;-3.600;min;0.00;0.00;0.00;
1;208;10.500;3.000;-3.600;max;0.00;0.00;0.00;
