Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;264;7.500;4.000;-3.600;;0.01;-0.04;88.34;0.05;-0.01;-1.21;
1;265;8.000;4.000;-3.600;;0.01;-0.04;86.12;0.06;-0.01;-2.93;
1;266;8.500;4.000;-3.600;;0.01;-0.05;85.64;0.06;-0.01;-2.53;
1;267;9.000;4.000;-3.600;;0.00;-0.09;81.22;0.11;0.00;-5.64;
1;268;9.500;4.000;-3.600;;0.02;-0.08;-88.35;0.09;-0.02;1.69;
1;269;10.000;4.000;-3.600;;0.01;-0.05;-85.10;0.06;-0.01;3.99;
1;270;10.500;4.000;-3.600;;0.01;-0.03;-85.64;0.05;-0.01;3.13;
1;271;11.000;4.000;-3.600;;0.01;-0.02;-88.85;0.04;-0.01;0.64;
1;272;11.500;4.000;-3.600;;0.00;0.00;70.93;0.02;-0.01;-0.05;
1;273;12.000;4.000;-3.600;;0.03;-0.11;50.50;0.11;-0.01;-36.20;
1;274;12.500;4.000;-3.600;;0.02;-0.09;-87.25;0.09;-0.02;3.68;
1;275;13.000;4.000;-3.600;;0.01;-0.03;-72.71;0.04;-0.01;13.73;
1;276;13.500;4.000;-3.600;;0.01;-0.01;-40.98;0.02;-0.01;21.66;
1;277;14.000;4.000;-3.600;;0.03;-0.01;-12.23;0.01;-0.01;46.97;
1;278;14.500;4.000;-3.600;;0.07;-0.01;3.09;0.01;-0.03;83.27;
1;279;15.000;4.000;-3.600;;0.12;-0.02;17.28;0.02;-0.05;-75.05;
Extremes;31;15.000;0.000;-3.600;ε_1,+;0.13;-0.02;-14.29;0.02;-0.05;80.68;
1;19;9.000;0.000;-3.600;ε_1,+;-0.01;-0.09;-83.69;0.10;0.01;3.84;
1;185;14.500;2.500;-3.600;ε_2,+;0.01;0.01;33.86;-0.01;-0.01;68.23;
1;25;12.000;0.000;-3.600;ε_2,+;0.02;-0.11;-46.90;0.10;-0.01;41.90;
1;267;9.000;4.000;-3.600;ε_1,-;0.00;-0.09;81.22;0.11;0.00;-5.64;
1;155;15.000;2.000;-3.600;ε_1,-;0.01;0.01;-4.14;-0.01;-0.01;5.48;
1;13;6.000;0.000;-3.600;ε_2,-;-0.01;-0.09;79.63;0.10;0.01;-6.11;
1;31;15.000;0.000;-3.600;ε_2,-;0.13;-0.02;-14.29;0.02;-0.05;80.68;
Total;;;;;;0.13;0.01;89.98;0.11;0.01;89.15;
1;;;;;;-0.01;-0.11;-89.94;-0.01;-0.05;-81.93;
